"tab_code","表章項目","cat01_code","H24_産業分類","area_code","H24_地域","time_code","時間軸","unit","value"
"811","事業所数","13835","小売業計","10207","館林市","2012000000","2012年","","580"
"811","事業所数","13835","小売業計","10208","渋川市","2012000000","2012年","","654"
"811","事業所数","13835","小売業計","10209","藤岡市","2012000000","2012年","","466"
"811","事業所数","13835","小売業計","10210","富岡市","2012000000","2012年","","413"
"811","事業所数","13835","小売業計","10211","安中市","2012000000","2012年","","397"
"811","事業所数","13835","小売業計","10212","みどり市","2012000000","2012年","","388"
"811","事業所数","13835","小売業計","10002","群馬県郡部","2012000000","2012年","","2015"
"811","事業所数","13835","小売業計","11000","埼玉県","2012000000","2012年","","32359"
"811","事業所数","13835","小売業計","11100","さいたま市","2012000000","2012年","","5043"
"811","事業所数","13835","小売業計","11101","西区","2012000000","2012年","","261"
"811","事業所数","13835","小売業計","11102","北区","2012000000","2012年","","539"
"811","事業所数","13835","小売業計","11103","大宮区","2012000000","2012年","","923"
"811","事業所数","13835","小売業計","11104","見沼区","2012000000","2012年","","510"
"811","事業所数","13835","小売業計","11105","中央区","2012000000","2012年","","355"
"811","事業所数","13835","小売業計","11106","桜区","2012000000","2012年","","256"
"811","事業所数","13835","小売業計","11107","浦和区","2012000000","2012年","","808"
"811","事業所数","13835","小売業計","11108","南区","2012000000","2012年","","476"
"811","事業所数","13835","小売業計","11109","緑区","2012000000","2012年","","390"
"811","事業所数","13835","小売業計","11110","岩槻区","2012000000","2012年","","525"
"811","事業所数","13835","小売業計","11001","埼玉県市部","2012000000","2012年","","24605"
"811","事業所数","13835","小売業計","11201","川越市","2012000000","2012年","","1507"
"811","事業所数","13835","小売業計","11202","熊谷市","2012000000","2012年","","1236"
"811","事業所数","13835","小売業計","11203","川口市","2012000000","2012年","","2409"
"811","事業所数","13835","小売業計","11206","行田市","2012000000","2012年","","506"
"811","事業所数","13835","小売業計","11207","秩父市","2012000000","2012年","","571"
"811","事業所数","13835","小売業計","11208","所沢市","2012000000","2012年","","1310"
"811","事業所数","13835","小売業計","11209","飯能市","2012000000","2012年","","496"
"811","事業所数","13835","小売業計","11210","加須市","2012000000","2012年","","632"
"811","事業所数","13835","小売業計","11211","本庄市","2012000000","2012年","","554"
"811","事業所数","13835","小売業計","11212","東松山市","2012000000","2012年","","564"
"811","事業所数","13835","小売業計","11214","春日部市","2012000000","2012年","","1069"
"811","事業所数","13835","小売業計","11215","狭山市","2012000000","2012年","","654"
"811","事業所数","13835","小売業計","11216","羽生市","2012000000","2012年","","416"
"811","事業所数","13835","小売業計","11217","鴻巣市","2012000000","2012年","","580"
"811","事業所数","13835","小売業計","11218","深谷市","2012000000","2012年","","848"
"811","事業所数","13835","小売業計","11219","上尾市","2012000000","2012年","","770"
"811","事業所数","13835","小売業計","11221","草加市","2012000000","2012年","","909"
"811","事業所数","13835","小売業計","11222","越谷市","2012000000","2012年","","1618"
"811","事業所数","13835","小売業計","11223","蕨市","2012000000","2012年","","395"
"811","事業所数","13835","小売業計","11224","戸田市","2012000000","2012年","","482"
"811","事業所数","13835","小売業計","11225","入間市","2012000000","2012年","","703"
"811","事業所数","13835","小売業計","11227","朝霞市","2012000000","2012年","","367"
"811","事業所数","13835","小売業計","11228","志木市","2012000000","2012年","","268"
"811","事業所数","13835","小売業計","11229","和光市","2012000000","2012年","","206"
"811","事業所数","13835","小売業計","11230","新座市","2012000000","2012年","","571"
"811","事業所数","13835","小売業計","11231","桶川市","2012000000","2012年","","342"
"811","事業所数","13835","小売業計","11232","久喜市","2012000000","2012年","","824"
"811","事業所数","13835","小売業計","11233","北本市","2012000000","2012年","","300"
"811","事業所数","13835","小売業計","11234","八潮市","2012000000","2012年","","325"
"811","事業所数","13835","小売業計","11235","富士見市","2012000000","2012年","","394"
"811","事業所数","13835","小売業計","11237","三郷市","2012000000","2012年","","564"
"811","事業所数","13835","小売業計","11238","蓮田市","2012000000","2012年","","236"
"811","事業所数","13835","小売業計","11239","坂戸市","2012000000","2012年","","432"
"811","事業所数","13835","小売業計","11240","幸手市","2012000000","2012年","","345"
"811","事業所数","13835","小売業計","11241","鶴ヶ島市","2012000000","2012年","","306"
"811","事業所数","13835","小売業計","11242","日高市","2012000000","2012年","","239"
"811","事業所数","13835","小売業計","11243","吉川市","2012000000","2012年","","219"
"811","事業所数","13835","小売業計","11245","ふじみ野市","2012000000","2012年","","438"
"811","事業所数","13835","小売業計","11002","埼玉県郡部","2012000000","2012年","","2711"
"811","事業所数","13835","小売業計","12000","千葉県","2012000000","2012年","","28051"
"811","事業所数","13835","小売業計","12001","千葉県市部","2012000000","2012年","","22741"
"811","事業所数","13835","小売業計","12100","千葉市","2012000000","2012年","","3696"
"811","事業所数","13835","小売業計","12101","中央区","2012000000","2012年","","1327"
"811","事業所数","13835","小売業計","12102","花見川区","2012000000","2012年","","522"
"811","事業所数","13835","小売業計","12103","稲毛区","2012000000","2012年","","577"
"811","事業所数","13835","小売業計","12104","若葉区","2012000000","2012年","","512"
"811","事業所数","13835","小売業計","12105","緑区","2012000000","2012年","","383"
"811","事業所数","13835","小売業計","12106","美浜区","2012000000","2012年","","375"
"811","事業所数","13835","小売業計","12202","銚子市","2012000000","2012年","","805"
"811","事業所数","13835","小売業計","12203","市川市","2012000000","2012年","","1708"
"811","事業所数","13835","小売業計","12204","船橋市","2012000000","2012年","","2229"
"811","事業所数","13835","小売業計","12205","館山市","2012000000","2012年","","522"
"811","事業所数","13835","小売業計","12206","木更津市","2012000000","2012年","","717"
"811","事業所数","13835","小売業計","12207","松戸市","2012000000","2012年","","1863"
"811","事業所数","13835","小売業計","12208","野田市","2012000000","2012年","","721"
"811","事業所数","13835","小売業計","12210","茂原市","2012000000","2012年","","610"
"811","事業所数","13835","小売業計","12211","成田市","2012000000","2012年","","810"
"811","事業所数","13835","小売業計","12212","佐倉市","2012000000","2012年","","661"
"811","事業所数","13835","小売業計","12213","東金市","2012000000","2012年","","354"
"811","事業所数","13835","小売業計","12215","旭市","2012000000","2012年","","590"
"811","事業所数","13835","小売業計","12216","習志野市","2012000000","2012年","","573"
"811","事業所数","13835","小売業計","12217","柏市","2012000000","2012年","","1629"
"811","事業所数","13835","小売業計","12218","勝浦市","2012000000","2012年","","206"
"811","事業所数","13835","小売業計","12219","市原市","2012000000","2012年","","1158"
"811","事業所数","13835","小売業計","12220","流山市","2012000000","2012年","","599"
"811","事業所数","13835","小売業計","12221","八千代市","2012000000","2012年","","721"
"811","事業所数","13835","小売業計","12222","我孫子市","2012000000","2012年","","451"
"811","事業所数","13835","小売業計","12223","鴨川市","2012000000","2012年","","378"
"811","事業所数","13835","小売業計","12224","鎌ケ谷市","2012000000","2012年","","387"
"811","事業所数","13835","小売業計","12225","君津市","2012000000","2012年","","435"
"811","事業所数","13835","小売業計","12226","富津市","2012000000","2012年","","364"
"811","事業所数","13835","小売業計","12227","浦安市","2012000000","2012年","","493"
"811","事業所数","13835","小売業計","12228","四街道市","2012000000","2012年","","338"
"811","事業所数","13835","小売業計","12229","袖ケ浦市","2012000000","2012年","","239"
"811","事業所数","13835","小売業計","12230","八街市","2012000000","2012年","","335"
"811","事業所数","13835","小売業計","12231","印西市","2012000000","2012年","","386"
"811","事業所数","13835","小売業計","12232","白井市","2012000000","2012年","","174"
"811","事業所数","13835","小売業計","12233","富里市","2012000000","2012年","","191"
"811","事業所数","13835","小売業計","12234","南房総市","2012000000","2012年","","420"
"811","事業所数","13835","小売業計","12235","匝瑳市","2012000000","2012年","","353"
"811","事業所数","13835","小売業計","12236","香取市","2012000000","2012年","","694"
"811","事業所数","13835","小売業計","12237","山武市","2012000000","2012年","","291"
"811","事業所数","13835","小売業計","12238","いすみ市","2012000000","2012年","","336"
"811","事業所数","13835","小売業計","12002","千葉県郡部","2012000000","2012年","","1614"
"811","事業所数","13835","小売業計","13000","東京都","2012000000","2012年","","67317"
"811","事業所数","13835","小売業計","13100","特別区部","2012000000","2012年","","49998"
"811","事業所数","13835","小売業計","13101","千代田区","2012000000","2012年","","2008"
"811","事業所数","13835","小売業計","13102","中央区","2012000000","2012年","","2065"
"811","事業所数","13835","小売業計","13103","港区","2012000000","2012年","","1956"
"811","事業所数","13835","小売業計","13104","新宿区","2012000000","2012年","","2649"
"811","事業所数","13835","小売業計","13105","文京区","2012000000","2012年","","1244"
"811","事業所数","13835","小売業計","13106","台東区","2012000000","2012年","","2562"
"811","事業所数","13835","小売業計","13107","墨田区","2012000000","2012年","","1617"
"811","事業所数","13835","小売業計","13108","江東区","2012000000","2012年","","2022"
"811","事業所数","13835","小売業計","13109","品川区","2012000000","2012年","","1860"
"811","事業所数","13835","小売業計","13110","目黒区","2012000000","2012年","","1353"
"811","事業所数","13835","小売業計","13111","大田区","2012000000","2012年","","3414"
"811","事業所数","13835","小売業計","13112","世田谷区","2012000000","2012年","","3195"
"811","事業所数","13835","小売業計","13113","渋谷区","2012000000","2012年","","2289"
"811","事業所数","13835","小売業計","13114","中野区","2012000000","2012年","","1468"
"811","事業所数","13835","小売業計","13115","杉並区","2012000000","2012年","","2487"
"811","事業所数","13835","小売業計","13116","豊島区","2012000000","2012年","","2000"
"811","事業所数","13835","小売業計","13117","北区","2012000000","2012年","","1768"
"811","事業所数","13835","小売業計","13118","荒川区","2012000000","2012年","","1236"
"811","事業所数","13835","小売業計","13119","板橋区","2012000000","2012年","","2082"
"811","事業所数","13835","小売業計","13120","練馬区","2012000000","2012年","","2391"
"811","事業所数","13835","小売業計","13121","足立区","2012000000","2012年","","3385"
"811","事業所数","13835","小売業計","13122","葛飾区","2012000000","2012年","","2362"
"811","事業所数","13835","小売業計","13123","江戸川区","2012000000","2012年","","2493"
"811","事業所数","13835","小売業計","13199","境界未定地域","2012000000","2012年","","92"
"811","事業所数","13835","小売業計","13001","東京都市部","2012000000","2012年","","16591"
"811","事業所数","13835","小売業計","13201","八王子市","2012000000","2012年","","2236"
"811","事業所数","13835","小売業計","13202","立川市","2012000000","2012年","","924"
"811","事業所数","13835","小売業計","13203","武蔵野市","2012000000","2012年","","1081"
