"cat01_code","確報・集計項目","cat02_code","産業分類","area_code","区市郡","unit","value"
"010000000","事業所数","2","小売業計","09210","大田原市","","775"
"010000000","事業所数","2","小売業計","09211","矢板市","","356"
"010000000","事業所数","2","小売業計","09213","那須塩原市","","1099"
"010000000","事業所数","2","小売業計","09214","さくら市","","389"
"010000000","事業所数","2","小売業計","09215","那須烏山市","","337"
"010000000","事業所数","2","小売業計","09216","下野市","","414"
"010000000","事業所数","2","小売業計","10000","群馬県","","19653"
"010000000","事業所数","2","小売業計","10201","前橋市","","3188"
"010000000","事業所数","2","小売業計","10202","高崎市","","3456"
"010000000","事業所数","2","小売業計","10203","桐生市","","1423"
"010000000","事業所数","2","小売業計","10204","伊勢崎市","","1776"
"010000000","事業所数","2","小売業計","10205","太田市","","1838"
"010000000","事業所数","2","小売業計","10206","沼田市","","733"
"010000000","事業所数","2","小売業計","10207","館林市","","845"
"010000000","事業所数","2","小売業計","10208","渋川市","","888"
"010000000","事業所数","2","小売業計","10209","藤岡市","","662"
"010000000","事業所数","2","小売業計","10210","富岡市","","543"
"010000000","事業所数","2","小売業計","10211","安中市","","552"
"010000000","事業所数","2","小売業計","10212","みどり市","","543"
"010000000","事業所数","2","小売業計","11000","埼玉県","","44573"
"010000000","事業所数","2","小売業計","11100","さいたま市","","7028"
"010000000","事業所数","2","小売業計","11101","西区","","319"
"010000000","事業所数","2","小売業計","11102","北区","","794"
"010000000","事業所数","2","小売業計","11103","大宮区","","1383"
"010000000","事業所数","2","小売業計","11104","見沼区","","720"
"010000000","事業所数","2","小売業計","11105","中央区","","528"
"010000000","事業所数","2","小売業計","11106","桜区","","335"
"010000000","事業所数","2","小売業計","11107","浦和区","","1046"
"010000000","事業所数","2","小売業計","11108","南区","","661"
"010000000","事業所数","2","小売業計","11109","緑区","","544"
"010000000","事業所数","2","小売業計","11110","岩槻区","","698"
"010000000","事業所数","2","小売業計","11201","川越市","","2123"
"010000000","事業所数","2","小売業計","11202","熊谷市","","1755"
"010000000","事業所数","2","小売業計","11203","川口市","","3065"
"010000000","事業所数","2","小売業計","11206","行田市","","726"
"010000000","事業所数","2","小売業計","11207","秩父市","","814"
"010000000","事業所数","2","小売業計","11208","所沢市","","1852"
"010000000","事業所数","2","小売業計","11209","飯能市","","668"
"010000000","事業所数","2","小売業計","11210","加須市","","559"
"010000000","事業所数","2","小売業計","11211","本庄市","","785"
"010000000","事業所数","2","小売業計","11212","東松山市","","718"
"010000000","事業所数","2","小売業計","11214","春日部市","","1460"
"010000000","事業所数","2","小売業計","11215","狭山市","","966"
"010000000","事業所数","2","小売業計","11216","羽生市","","436"
"010000000","事業所数","2","小売業計","11217","鴻巣市","","771"
"010000000","事業所数","2","小売業計","11218","深谷市","","1162"
"010000000","事業所数","2","小売業計","11219","上尾市","","1105"
"010000000","事業所数","2","小売業計","11221","草加市","","1330"
"010000000","事業所数","2","小売業計","11222","越谷市","","1984"
"010000000","事業所数","2","小売業計","11223","蕨市","","564"
"010000000","事業所数","2","小売業計","11224","戸田市","","696"
"010000000","事業所数","2","小売業計","11225","入間市","","904"
"010000000","事業所数","2","小売業計","11226","鳩ケ谷市","","390"
"010000000","事業所数","2","小売業計","11227","朝霞市","","555"
"010000000","事業所数","2","小売業計","11228","志木市","","369"
"010000000","事業所数","2","小売業計","11229","和光市","","262"
"010000000","事業所数","2","小売業計","11230","新座市","","827"
"010000000","事業所数","2","小売業計","11231","桶川市","","510"
"010000000","事業所数","2","小売業計","11232","久喜市","","493"
"010000000","事業所数","2","小売業計","11233","北本市","","413"
"010000000","事業所数","2","小売業計","11234","八潮市","","493"
"010000000","事業所数","2","小売業計","11235","富士見市","","536"
"010000000","事業所数","2","小売業計","11237","三郷市","","740"
"010000000","事業所数","2","小売業計","11238","蓮田市","","358"
"010000000","事業所数","2","小売業計","11239","坂戸市","","621"
"010000000","事業所数","2","小売業計","11240","幸手市","","421"
"010000000","事業所数","2","小売業計","11241","鶴ヶ島市","","455"
"010000000","事業所数","2","小売業計","11242","日高市","","290"
"010000000","事業所数","2","小売業計","11243","吉川市","","321"
"010000000","事業所数","2","小売業計","11245","ふじみ野市","","660"
"010000000","事業所数","2","小売業計","12000","千葉県","","39603"
"010000000","事業所数","2","小売業計","12100","千葉市","","5476"
"010000000","事業所数","2","小売業計","12101","中央区","","1984"
"010000000","事業所数","2","小売業計","12102","花見川区","","738"
"010000000","事業所数","2","小売業計","12103","稲毛区","","851"
"010000000","事業所数","2","小売業計","12104","若葉区","","776"
"010000000","事業所数","2","小売業計","12105","緑区","","502"
"010000000","事業所数","2","小売業計","12106","美浜区","","625"
"010000000","事業所数","2","小売業計","12202","銚子市","","1121"
"010000000","事業所数","2","小売業計","12203","市川市","","2543"
"010000000","事業所数","2","小売業計","12204","船橋市","","3055"
"010000000","事業所数","2","小売業計","12205","館山市","","702"
"010000000","事業所数","2","小売業計","12206","木更津市","","1016"
"010000000","事業所数","2","小売業計","12207","松戸市","","2584"
"010000000","事業所数","2","小売業計","12208","野田市","","958"
"010000000","事業所数","2","小売業計","12210","茂原市","","875"
"010000000","事業所数","2","小売業計","12211","成田市","","1172"
"010000000","事業所数","2","小売業計","12212","佐倉市","","931"
"010000000","事業所数","2","小売業計","12213","東金市","","505"
"010000000","事業所数","2","小売業計","12215","旭市","","790"
"010000000","事業所数","2","小売業計","12216","習志野市","","776"
"010000000","事業所数","2","小売業計","12217","柏市","","2198"
"010000000","事業所数","2","小売業計","12218","勝浦市","","290"
"010000000","事業所数","2","小売業計","12219","市原市","","1620"
"010000000","事業所数","2","小売業計","12220","流山市","","827"
"010000000","事業所数","2","小売業計","12221","八千代市","","1030"
"010000000","事業所数","2","小売業計","12222","我孫子市","","664"
"010000000","事業所数","2","小売業計","12223","鴨川市","","543"
"010000000","事業所数","2","小売業計","12224","鎌ケ谷市","","544"
"010000000","事業所数","2","小売業計","12225","君津市","","612"
"010000000","事業所数","2","小売業計","12226","富津市","","499"
"010000000","事業所数","2","小売業計","12227","浦安市","","815"
"010000000","事業所数","2","小売業計","12228","四街道市","","467"
"010000000","事業所数","2","小売業計","12229","袖ケ浦市","","319"
"010000000","事業所数","2","小売業計","12230","八街市","","429"
"010000000","事業所数","2","小売業計","12231","印西市","","427"
"010000000","事業所数","2","小売業計","12232","白井市","","220"
"010000000","事業所数","2","小売業計","12233","富里市","","289"
"010000000","事業所数","2","小売業計","12234","南房総市","","548"
"010000000","事業所数","2","小売業計","12235","匝瑳市","","505"
"010000000","事業所数","2","小売業計","12236","香取市","","998"
"010000000","事業所数","2","小売業計","12237","山武市","","388"
"010000000","事業所数","2","小売業計","12238","いすみ市","","457"
"010000000","事業所数","2","小売業計","13000","東京都","","102695"
"010000000","事業所数","2","小売業計","13100","特別区部","","77302"
"010000000","事業所数","2","小売業計","13101","千代田区","","3057"
"010000000","事業所数","2","小売業計","13102","中央区","","3059"
"010000000","事業所数","2","小売業計","13103","港区","","3593"
"010000000","事業所数","2","小売業計","13104","新宿区","","3735"
"010000000","事業所数","2","小売業計","13105","文京区","","1898"
"010000000","事業所数","2","小売業計","13106","台東区","","3652"
"010000000","事業所数","2","小売業計","13107","墨田区","","2499"
"010000000","事業所数","2","小売業計","13108","江東区","","2978"
"010000000","事業所数","2","小売業計","13109","品川区","","2896"
"010000000","事業所数","2","小売業計","13110","目黒区","","2272"
"010000000","事業所数","2","小売業計","13111","大田区","","5044"
"010000000","事業所数","2","小売業計","13112","世田谷区","","5470"
"010000000","事業所数","2","小売業計","13113","渋谷区","","3989"
"010000000","事業所数","2","小売業計","13114","中野区","","2289"
"010000000","事業所数","2","小売業計","13115","杉並区","","3967"
"010000000","事業所数","2","小売業計","13116","豊島区","","3008"
"010000000","事業所数","2","小売業計","13117","北区","","2747"
"010000000","事業所数","2","小売業計","13118","荒川区","","1870"
"010000000","事業所数","2","小売業計","13119","板橋区","","3436"
"010000000","事業所数","2","小売業計","13120","練馬区","","3633"
"010000000","事業所数","2","小売業計","13121","足立区","","4769"
"010000000","事業所数","2","小売業計","13122","葛飾区","","3503"
"010000000","事業所数","2","小売業計","13123","江戸川区","","3775"
"010000000","事業所数","2","小売業計","13201","八王子市","","3344"
"010000000","事業所数","2","小売業計","13202","立川市","","1332"
"010000000","事業所数","2","小売業計","13203","武蔵野市","","1687"
"010000000","事業所数","2","小売業計","13204","三鷹市","","816"
"010000000","事業所数","2","小売業計","13205","青梅市","","952"
"010000000","事業所数","2","小売業計","13206","府中市","","1329"
"010000000","事業所数","2","小売業計","13207","昭島市","","754"
"010000000","事業所数","2","小売業計","13208","調布市","","1331"
"010000000","事業所数","2","小売業計","13209","町田市","","2450"
"010000000","事業所数","2","小売業計","13210","小金井市","","593"
"010000000","事業所数","2","小売業計","13211","小平市","","966"
"010000000","事業所数","2","小売業計","13212","日野市","","746"
"010000000","事業所数","2","小売業計","13213","東村山市","","797"
"010000000","事業所数","2","小売業計","13214","国分寺市","","654"
"010000000","事業所数","2","小売業計","13215","国立市","","522"
